COMMON_NAM,COUNT,Min_DBH_TRUNK,Max_DBH_TRUNK,Ave_DBH_TRUNK,FRUIT_FLAG,Fruit_Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
AMERICAN CHESTNUT,2,6,6,6,YES,"Oct, Nov",0,0,0,0,0,0,0,0,0,1,1,0
AMERICAN HAZEL,14,4,44,20.64285714,YES ,Oct ,0,0,0,0,0,0,0,0,0,1,0,0
APPLE,"2,106",0,120,22.45963913,YES,Sept,0,0,0,0,0,0,0,0,1,0,0,0
APRICOT,86,3,67,21.03488372,YES,"Jul, Aug",0,0,0,0,0,0,1,1,0,0,0,0
BLACK (RED) MULBERRY,37,1,83,22.32432432,YES ,"Jul, Aug",0,0,0,0,0,0,1,1,0,0,0,0
BLACK WALNUT,845,0,254,33.2816568,YES ,"Sept, Oct",0,0,0,0,0,0,0,0,1,1,0,0
BRADFORD PEAR,"1,712",1,100,15.56308411,YES,"Aug, Sept, Oct, Nov",0,0,0,0,0,0,0,1,1,1,1,0
CHERRY,"2,762",0,90,19.4634323,YES,"Jun, Jul",0,0,0,0,0,1,1,0,0,0,0,0
CHOKE CHERRY,"1,956",0,150,17.18711656,YES ,"Jun, Jul",0,0,0,0,0,1,1,0,0,0,0,0
CRAB APPLE,"20,425",0,450,25.89219094,YES,"Sept, Oct, Nov",0,0,0,0,0,0,0,0,1,1,1,0
HACK-BERRY,"6,082",0,"2,845.00",10.58073002,YES,Sept ,0,0,0,0,0,0,0,0,1,0,0,0
HAZEL,63,0,60,13.52380952,YES ,Oct,0,0,0,0,0,0,0,0,0,1,0,0
MULBERRY,"1,935",0,140,20.75503876,YES,"Jul, Aug",0,0,0,0,0,0,1,1,0,0,0,0
PEACH,578,0,55,10.27854671,YES,"Jul, Aug, Sept",0,0,0,0,0,0,1,1,1,0,0,0
PEAR,"2,470",0,78,14.87692308,YES,"Aug, Sept, Oct, Nov",0,0,0,0,0,0,0,1,1,1,1,0
PLUM,"1,275",0,200,13.46196078,YES,"Jul, Aug, Sept",0,0,0,0,0,0,1,1,1,0,0,0
PURPLELEAF CHERRY,65,0,54,12.64615385,YES,"Jun, Jul",0,0,0,0,0,1,1,0,0,0,0,0
SARGENT CHERRY,35,1,48,21.94285714,YES ,"Jun, Jul",0,0,0,0,0,1,1,0,0,0,0,0
WALNUT,229,0,93,33.86462882,YES,"Sept, Oct",0,0,0,0,0,0,0,0,1,1,0,0
